iter	Logloss
0	0.6926174955
1	0.6921004029
2	0.6915906243
3	0.6909734785
4	0.6905057416
5	0.6899494322
6	0.6894194552
7	0.6889152895
8	0.6883980204
9	0.6879533834
10	0.6874861711
11	0.6870105138
12	0.6864966618
13	0.686076112
14	0.6855137837
15	0.685078169
16	0.6846155461
17	0.6841656842
18	0.6837397438
19	0.6832169485
20	0.6827784272
21	0.6823261513
22	0.6819035707
23	0.6814121218
24	0.6809981875
25	0.6806241512
26	0.6801810427
27	0.6797491565
28	0.6792943
29	0.6788808036
30	0.6784415857
31	0.6780734949
32	0.6776833607
33	0.6773065303
34	0.6769498062
35	0.6764939065
36	0.6761349623
37	0.675701474
38	0.675359108
39	0.6748950715
40	0.6745351443
41	0.6742431733
42	0.6738945073
43	0.67349567
44	0.6730875654
45	0.672737989
46	0.6723753513
47	0.6720787646
48	0.6716565143
49	0.671286815
50	0.6710017893
51	0.6707205188
52	0.6703558216
53	0.6699933394
54	0.6695796654
55	0.6692441024
56	0.6689010942
57	0.6685438994
58	0.6681863837
59	0.6678298144
60	0.6674298345
61	0.6671112939
62	0.6667903264
63	0.6664695404
64	0.6661899977
65	0.6658145598
66	0.6655075815
67	0.6651799839
68	0.6649419312
69	0.6646500013
70	0.6643547751
71	0.6640663482
72	0.6638468511
73	0.6635771598
74	0.6632535379
75	0.6629800832
76	0.6626994239
77	0.6623479215
78	0.6621331804
79	0.6618111774
80	0.6614987573
81	0.6613066507
82	0.6609941353
83	0.6606725607
84	0.6604174381
85	0.6601501904
86	0.6600376363
87	0.6597616219
88	0.6594231731
89	0.659219447
90	0.6589554965
91	0.6586756687
92	0.6583961255
93	0.658198823
94	0.6579367026
95	0.6576452733
96	0.6574306778
97	0.6572246191
98	0.6569886861
99	0.6567843666
100	0.6565047385
101	0.6562669224
102	0.6560953899
103	0.655879017
104	0.6556039887
105	0.6554111263
106	0.6550937978
107	0.6548157736
108	0.6545452624
109	0.6542642357
110	0.6540404915
111	0.6537755156
112	0.653619011
113	0.6533497221
114	0.6531032966
115	0.6528551424
116	0.6525888061
117	0.6524138744
118	0.6522443382
119	0.6520248838
120	0.6518906474
121	0.6516691366
122	0.6514885642
123	0.6512973816
124	0.6510756482
125	0.6508099735
126	0.6505296397
127	0.6503378309
128	0.6501102485
129	0.6499200885
130	0.6496907344
131	0.6494214483
132	0.6491971546
133	0.6490279601
134	0.6487571634
135	0.6485282099
136	0.6484113484
137	0.6481934109
138	0.6480603017
139	0.6478798141
140	0.6477507493
141	0.6475807117
142	0.6474235316
143	0.6471963949
144	0.646978685
145	0.6467769499
146	0.646639046
147	0.6465078654
148	0.6463602419
149	0.6460603305
150	0.6459075115
151	0.6457539504
152	0.6455858689
153	0.6453669065
154	0.6451584052
155	0.6450245608
156	0.6447481693
157	0.6446728378
158	0.644518589
159	0.644384717
160	0.6442030978
161	0.6440613855
162	0.6439295745
163	0.6437060788
164	0.6434210676
165	0.6431986766
166	0.6429920247
167	0.6427912529
168	0.6426115679
169	0.6424118789
170	0.6422128735
171	0.6419875818
172	0.6418518657
173	0.6416690466
174	0.641494535
175	0.641332073
176	0.6411381763
177	0.6409716053
178	0.6407717333
179	0.6405281337
180	0.640398915
181	0.6402573672
182	0.6401799706
183	0.6400183106
184	0.6398020008
185	0.6396442422
186	0.6394769508
187	0.6392892601
188	0.6391120685
189	0.6388858711
190	0.6387479607
191	0.6386069313
192	0.6384910728
193	0.6383157174
194	0.638198924
195	0.6380582126
196	0.637896289
197	0.6377905528
198	0.6377166796
199	0.6375248308
200	0.6374422839
201	0.6373162257
202	0.6372695274
203	0.6370505623
204	0.6369098286
205	0.6367610413
206	0.6365598835
207	0.6364003512
208	0.6363330619
209	0.6361434217
210	0.6360097976
211	0.6358517104
212	0.6357086805
213	0.6355184995
214	0.6353782454
215	0.63522295
216	0.6351082452
217	0.6348844846
218	0.6347748602
219	0.6346179467
220	0.6344871746
221	0.6343114193
222	0.6341278322
223	0.6339709594
224	0.6338665892
225	0.6336372887
226	0.6334974037
227	0.6333604209
228	0.6332779312
229	0.6331589768
230	0.633069391
231	0.6329413504
232	0.6328215892
233	0.6325517493
234	0.6324115061
235	0.6322882071
236	0.6321987735
237	0.6320236072
238	0.6318522457
239	0.6317443121
240	0.6315718769
241	0.6314350713
242	0.6313068825
243	0.6311963088
244	0.6310320533
245	0.6309136608
246	0.6307916512
247	0.6306617907
248	0.6305692914
249	0.6305025879
250	0.6303876427
251	0.630226668
252	0.6299947052
253	0.6298592761
254	0.6297394052
255	0.6296271099
256	0.6294582852
257	0.6293794566
258	0.6292919324
259	0.6291694148
260	0.6290058388
261	0.6289133255
262	0.6287593335
263	0.628575961
264	0.6284488551
265	0.628379957
266	0.6282707082
267	0.628127371
268	0.6280281016
269	0.6278574744
270	0.6277508871
271	0.6276049139
272	0.6274240397
273	0.6272915025
274	0.6271193359
275	0.6270170534
276	0.6268677817
277	0.626763012
278	0.626637068
279	0.6265012604
280	0.6263393555
281	0.6261977506
282	0.6260825908
283	0.6259656507
284	0.6258437328
285	0.6257311912
286	0.6255634292
287	0.6254343293
288	0.6253262168
289	0.625234808
290	0.6251389339
291	0.6249782744
292	0.6248091526
293	0.6246240174
294	0.6245927921
295	0.6244549239
296	0.6243037727
297	0.624211913
298	0.6240906652
299	0.6240169063
300	0.6239256956
301	0.6238228796
302	0.6237386315
303	0.6236576841
304	0.62351129
305	0.6233799814
306	0.6233040301
307	0.6232199015
308	0.6231003795
309	0.6229798226
310	0.6228956841
311	0.6227197149
312	0.6226109841
313	0.6224835072
314	0.6224161055
315	0.6223329658
316	0.6222319726
317	0.6221100171
318	0.6219670248
319	0.6218224995
320	0.6216780581
321	0.6215519103
322	0.6214879004
323	0.6213201982
324	0.6211856161
325	0.6211003112
326	0.6209778765
327	0.620931315
328	0.620841895
329	0.6207187945
330	0.6206058133
331	0.6205470814
332	0.6204021836
333	0.6203274966
334	0.6202356054
335	0.6201260657
336	0.6199748213
337	0.6198671263
338	0.6197756951
339	0.619703509
340	0.6196040642
341	0.6195370082
342	0.6194628314
343	0.6193199383
344	0.6192369228
345	0.6191515576
346	0.6189787703
347	0.6188466156
348	0.6187488842
349	0.6186721245
350	0.6185805173
351	0.6184665864
352	0.618368093
353	0.6182564196
354	0.6181828781
355	0.6180534466
356	0.6178953841
357	0.6178356766
358	0.6177020865
359	0.6175314213
360	0.6174707946
361	0.6173835331
362	0.6173077683
363	0.6172112552
364	0.6170628195
365	0.6169582577
366	0.6168675501
367	0.6168114076
368	0.6167567006
369	0.6166410922
370	0.616460983
371	0.6163394337
372	0.6162043245
373	0.6160713335
374	0.6160148226
375	0.6159340507
