iter	Passed	Remaining
0	10	26107
1	29	36863
2	43	36060
3	60	37798
4	69	34792
5	75	31553
6	88	31419
7	92	28878
8	105	29239
9	112	28101
10	118	26712
11	123	25506
12	128	24515
13	131	23398
14	138	22928
15	144	22430
16	148	21743
17	154	21322
18	161	21059
19	167	20767
20	172	20406
21	177	19950
22	185	19965
23	193	19927
24	201	19922
25	211	20077
26	216	19800
27	239	21140
28	250	21327
29	258	21321
30	264	21104
31	269	20757
32	275	20572
33	281	20443
34	285	20136
35	290	19855
36	293	19539
37	297	19251
38	300	18978
39	304	18751
40	308	18496
41	311	18251
42	315	18054
43	319	17847
44	323	17643
45	327	17490
46	333	17425
47	347	17745
48	355	17789
49	365	17890
50	378	18191
51	382	18021
52	386	17844
53	390	17687
54	394	17545
55	397	17369
56	401	17205
57	406	17111
58	410	16995
59	414	16850
60	417	16704
61	421	16586
62	425	16454
63	428	16318
64	432	16211
65	436	16091
66	439	15975
67	444	15881
68	447	15774
69	451	15660
70	454	15551
71	458	15449
72	461	15346
73	465	15255
74	472	15290
75	476	15200
76	479	15101
77	483	15023
78	487	14933
79	490	14847
80	494	14775
81	498	14694
82	501	14609
83	505	14529
84	510	14496
85	513	14426
86	515	14302
87	519	14231
88	522	14165
89	526	14095
90	529	14023
91	533	13961
92	536	13894
93	540	13824
94	543	13761
95	547	13710
96	550	13642
97	553	13574
98	557	13522
99	560	13462
100	564	13406
101	567	13344
102	571	13293
103	574	13239
104	577	13182
105	581	13135
106	585	13089
107	588	13035
108	591	12984
109	595	12942
110	598	12889
111	602	12839
112	605	12787
113	609	12752
114	612	12708
115	616	12662
116	619	12618
117	622	12572
118	626	12529
119	629	12485
120	633	12453
121	636	12414
122	640	12370
123	643	12326
124	647	12293
125	650	12258
126	654	12221
127	657	12190
128	661	12155
129	664	12122
130	668	12086
131	672	12057
132	675	12023
133	678	11983
134	682	11951
135	685	11922
136	689	11888
137	692	11854
138	696	11829
139	701	11818
140	704	11779
141	707	11748
142	713	11756
143	717	11731
144	720	11706
145	725	11699
146	732	11718
147	735	11693
148	740	11690
149	744	11665
150	749	11660
151	753	11633
152	757	11613
153	763	11627
154	773	11694
155	783	11773
156	791	11816
157	810	12007
158	825	12152
159	836	12238
160	844	12265
161	855	12350
162	865	12402
163	879	12529
164	896	12683
165	904	12716
166	910	12721
167	916	12727
168	921	12713
169	927	12711
170	932	12699
171	940	12735
172	946	12725
173	952	12729
174	959	12745
175	966	12766
176	977	12824
177	983	12823
178	992	12872
179	999	12881
180	1004	12871
181	1012	12895
182	1021	12933
183	1029	12958
184	1037	12982
185	1043	12976
186	1049	12975
187	1054	12974
188	1060	12966
189	1067	12981
190	1072	12961
191	1078	12958
192	1082	12944
193	1088	12943
194	1092	12918
195	1097	12903
196	1104	12917
197	1108	12891
198	1113	12874
199	1118	12857
200	1125	12871
201	1130	12865
202	1133	12828
203	1141	12845
204	1147	12849
205	1156	12882
206	1161	12871
207	1167	12865
208	1171	12838
209	1178	12855
210	1184	12854
211	1190	12844
212	1195	12841
213	1199	12818
214	1205	12808
215	1210	12796
216	1214	12781
217	1220	12773
218	1224	12750
219	1230	12750
220	1234	12727
221	1237	12697
222	1242	12682
223	1246	12661
224	1250	12639
225	1253	12616
226	1257	12588
227	1261	12569
228	1265	12550
229	1269	12527
230	1271	12491
231	1275	12464
232	1279	12450
233	1283	12427
234	1286	12403
235	1295	12424
236	1299	12403
237	1302	12378
238	1305	12353
239	1309	12328
240	1312	12305
241	1316	12286
242	1320	12261
243	1323	12235
244	1326	12213
245	1330	12192
246	1334	12170
247	1337	12146
248	1341	12123
249	1343	12088
250	1346	12065
251	1350	12043
252	1353	12021
253	1357	12001
254	1360	11980
255	1364	11958
256	1368	11945
257	1372	11923
258	1376	11906
259	1379	11883
260	1382	11860
261	1385	11838
262	1389	11818
263	1392	11796
264	1396	11773
265	1397	11738
266	1401	11723
267	1405	11703
268	1409	11686
269	1413	11671
270	1417	11657
271	1420	11635
272	1424	11618
273	1430	11624
274	1435	11618
275	1442	11621
276	1447	11613
277	1452	11610
278	1456	11595
279	1459	11574
280	1463	11559
281	1467	11538
282	1470	11519
283	1473	11499
284	1477	11483
285	1480	11463
286	1484	11443
287	1488	11431
288	1491	11412
289	1495	11393
290	1498	11373
291	1502	11361
292	1506	11344
293	1509	11327
294	1512	11305
295	1516	11290
296	1519	11273
297	1522	11253
298	1526	11238
299	1530	11221
300	1533	11202
301	1537	11186
302	1540	11169
303	1544	11153
304	1547	11136
305	1552	11130
306	1556	11116
307	1559	11098
308	1563	11086
309	1567	11077
310	1571	11063
311	1577	11064
312	1582	11053
313	1587	11051
314	1593	11053
315	1599	11055
316	1604	11051
317	1610	11051
318	1616	11048
319	1621	11048
320	1626	11042
321	1632	11044
322	1638	11041
323	1642	11032
324	1651	11049
325	1655	11039
326	1660	11036
327	1666	11036
328	1672	11035
329	1677	11029
330	1681	11021
331	1687	11022
332	1691	11010
333	1697	11007
334	1706	11025
335	1712	11027
336	1717	11020
337	1721	11013
338	1729	11023
339	1734	11021
340	1741	11028
341	1746	11017
342	1752	11017
